id,観測所名,河川名,日時,河川水位,水防団待機水位(通報水位),はん濫注意水位(警戒水位),避難判断水位(特別警戒水位),はん濫危険水位(危険水位),警報状態,geo3x3
1,九十九橋,足羽川,2021-08-14T12:10,3.31,3.50,4.80,5.60,6.10,通常,E9138735961882
2,河増,荒川,2021-08-14T12:10,2.96,2.50,2.70,-,3.60,はん濫注意水位超過,E9138736828171
3,江端川水門（江端川水位）,江端川,2021-08-14T12:10,6.76,5.70,6.20,-,8.00,はん濫注意水位超過,E9138735534882
4,江端川水門（日野川水位）,日野川,2021-08-14T12:10,6.87,-,-,-,-,通常,E9138735525982
5,狐川水門（狐川水位）,狐川,2021-08-14T12:10,3.85,3.40,4.30,-,7.00,水防団待機水位超過,E9138735881453
6,狐川水門（日野川水位）,日野川,2021-08-14T12:10,4.85,-,-,-,-,通常,E9138735872561
7,荒川水門（荒川水位）,荒川,2021-08-14T12:10,5.90,6.50,8.30,-,10.50,通常,E9138736711649
8,荒川水門（足羽川水位）,足羽川,2021-08-14T12:10,5.89,-,-,-,-,通常,E9138736713548
9,原目,荒川,2021-08-14T12:10,1.42,1.20,1.50,1.80,2.00,水防団待機水位超過,E9138736898799
10,諏訪間,永平寺川,2021-08-14T12:10,1.13,1.10,1.90,-,3.00,水防団待機水位超過,E9138814797888
12,朝谷,足羽川,2021-08-14T12:10,1.89,1.20,2.50,3.90,4.70,水防団待機水位超過,E9138811978237
13,江端,江端川,2021-08-14T12:10,4.43,1.70,2.62,4.36,5.14,避難判断水位超過,E9138735399424
14,若杉,狐川,2021-08-14T12:10,4.05,2.90,3.70,-,5.10,はん濫注意水位超過,E9138735826614
15,上里,底喰川,2021-08-14T12:10,4.34,3.30,3.80,-,5.15,はん濫注意水位超過,E9138735986377
16,上森田,芳野川,2021-08-14T12:10,6.53,6.30,7.00,-,8.08,水防団待機水位超過,E9138739426977
17,安保（朝六ツ川）,朝六ツ川,2021-08-14T12:10,7.34,6.80,7.20,-,8.20,はん濫注意水位超過,E9138735318561
22,長屋,田島川,2021-08-14T12:10,2.66,2.50,3.20,-,4.20,水防団待機水位超過,E9138763247979
