日時,河川水位,id
2024-08-25T00:20,1.29,1
2024-08-25T00:20,1.43,2
2024-08-25T00:20,0.61,3
2024-08-25T00:20,0.68,4
2024-08-25T00:20,0.56,5
2024-08-25T00:20,0.58,6
2024-08-25T00:20,4.08,7
2024-08-25T00:20,2.06,8
2024-08-25T00:20,0.25,9
2024-08-25T00:20,0.08,10
2024-08-25T00:20,0.04,12
2024-08-25T00:20,0.44,13
2024-08-25T00:20,1.92,14
2024-08-25T00:20,2.62,15
2024-08-25T00:20,6.01,16
2024-08-25T00:20,6.47,17
2024-08-25T00:20,1.02,22
2024-08-25T00:20,0.29,23
2024-08-25T00:20,1.04,24
2024-08-25T00:20,0.36,25
2024-08-25T00:20,0.72,26
2024-08-25T00:20,0.56,27
2024-08-25T00:20,0.71,28
2024-08-24T24:00,0.42,29
2024-08-24T24:00,0.67,30
2024-08-24T24:00,0.72,31
2024-08-24T24:00,0.78,32
2024-08-25T00:20,0.00,43
2024-08-25T00:20,1.03,45
2024-08-25T00:20,0.36,46
2024-08-25T00:20,1.02,47
2024-08-25T00:20,0.57,48
2024-08-24T24:00,4.60,49
2024-08-24T24:00,0.92,51
2024-08-25T00:20,0.92,62
2024-08-25T00:20,0.38,63
2024-08-25T00:20,0.28,64
2024-08-25T00:20,0.13,65
2024-08-25T00:20,0.10,66
2024-08-25T00:20,6.47,74
2024-08-25T00:20,0.38,75
2024-08-25T00:20,0.55,76
2024-08-25T00:20,0.18,77
2024-08-25T00:20,6.47,78
2024-08-25T00:20,0.24,79
2024-08-25T00:20,0.67,80
2024-08-25T00:20,6.94,81
2024-08-25T00:20,6.69,82
2024-08-25T00:20,6.75,83
2024-08-25T00:20,0.57,88
2024-08-25T00:20,0.20,89
2024-08-25T00:20,0.42,90
2024-08-25T00:20,0.12,91
2024-08-25T00:20,0.22,92
2024-08-25T00:20,0.53,93
2024-08-25T00:20,349.75,95
2024-08-25T00:20,0.12,96
2024-08-25T00:20,0.43,97
2024-08-25T00:20,1.25,107
2024-08-25T00:20,0.20,108
2024-08-25T00:20,0.69,109
2024-08-25T00:20,1.13,110
2024-08-25T00:20,0.41,111
2024-08-25T00:20,0.30,121
2024-08-25T00:20,0.29,122
2024-08-25T00:20,0.62,124
2024-08-25T00:20,0.47,134
2024-08-25T00:20,0.14,135
2024-08-25T00:20,0.26,136
2024-08-25T00:20,0.90,137
2024-08-25T00:20,0.64,138
2024-08-25T00:20,0.05,139
2024-08-25T00:20,0.61,140
2024-08-25T00:20,0.53,141
2024-08-25T00:20,0.97,150
2024-08-25T00:20,0.18,151
2024-08-25T00:20,0.90,152
2024-08-24T24:00,*,153
2024-08-25T00:20,1.84,154
